class_id,class_name,f1
0,Surface standing waters,0.8248772504091653
1,Surface running waters,0.7893915756630265
2,Dry grasslands,0.5502958579881657
3,Mesic grasslands,0.37094281298299847
4,Seasonally wet and wet grasslands,0.3171171171171171
5,Alpine and subalpine grasslands,0.3358024691358025
6,"Arctic, alpine and subalpine scrub",0.44642857142857145
7,Shrub plantations,0.7962962962962963
8,Broadleaved deciduous woodland,0.5251076040172167
9,Coniferous woodland,0.6176470588235294
10,Mixed deciduous and coniferous woodland,0.38961038961038963
11,"Inland cliffs, rock pavements and outcrops",0.7047619047619048
12,Arable land and market gardens,0.5555555555555556
13,Cultivated areas of gardens and parks,0.5720081135902637
14,"Buildings of cities, towns and villages",0.6419753086419753
15,Low density buildings,0.4404973357015986
16,Transport networks and other constructed hard-surfaced areas,0.7689873417721519
