epoch,lr,train_loss,train_acc,val_loss,val_acc,val_macro_f1,val_micro_f1,best_ckpt,last_ckpt
1,1e-05,2.41512192905107,0.2795372095303461,1.9358232757861797,0.4135384615384615,0.35859159274031055,0.4135384615384615,outputs\resnet18_fusion_20260107_210614\checkpoints\best.pt,
2,1e-05,1.784092068134517,0.43925875085792726,1.5726298625652606,0.46892307692307694,0.4255062522779214,0.46892307692307694,outputs\resnet18_fusion_20260107_210614\checkpoints\best.pt,
3,1e-05,1.5436990255584364,0.48543974899499953,1.4531743563872117,0.49415384615384617,0.4692982809973194,0.49415384615384617,outputs\resnet18_fusion_20260107_210614\checkpoints\best.pt,
4,1e-05,1.436914966800468,0.511324639670556,1.395809910774231,0.5206153846153846,0.5050925272957479,0.5206153846153846,outputs\resnet18_fusion_20260107_210614\checkpoints\best.pt,
5,1e-05,1.378814105310093,0.5270124522011962,1.3561971252147969,0.5372307692307692,0.52821748840063,0.5372307692307692,outputs\resnet18_fusion_20260107_210614\checkpoints\best.pt,outputs\resnet18_fusion_20260107_210614\checkpoints\last_005.pt
6,1e-05,1.3214928586175132,0.5468183155211295,1.3425263600716224,0.5366153846153846,0.5248777880185402,0.5366153846153846,,
7,1e-05,1.2972345257380486,0.54848514560251,1.3219556943453274,0.5366153846153846,0.5266899615313027,0.5366153846153846,,
8,1e-05,1.2581092736127037,0.5651534464163154,1.3013074733293974,0.5507692307692308,0.54088177329605,0.5507692307692308,outputs\resnet18_fusion_20260107_210614\checkpoints\best.pt,
9,1e-05,1.2272651298266555,0.5684871065790764,1.2883126888275147,0.5556923076923077,0.5466651814813186,0.5556923076923077,outputs\resnet18_fusion_20260107_210614\checkpoints\best.pt,
10,1e-05,1.2024741589888626,0.578390038239043,1.2825952332570003,0.5643076923076923,0.553897087909756,0.5643076923076923,outputs\resnet18_fusion_20260107_210614\checkpoints\best.pt,outputs\resnet18_fusion_20260107_210614\checkpoints\last_010.pt
11,1e-05,1.1725425404746785,0.5868222374742622,1.2737343507179848,0.5698461538461539,0.5629058381457605,0.5698461538461539,outputs\resnet18_fusion_20260107_210614\checkpoints\best.pt,
12,1e-05,1.1480597869965805,0.6010393175801549,1.2730723784520075,0.5593846153846154,0.5466152830607908,0.5593846153846154,,
13,1e-05,1.1320603336115798,0.603392489459751,1.2693358656076286,0.5593846153846154,0.5505186630912587,0.5593846153846154,,
14,1e-05,1.1232270759885854,0.6080007843906265,1.2620701921169575,0.5741538461538461,0.5620319615343848,0.5741538461538461,,
15,1e-05,1.0874464768079557,0.6129032258064516,1.264849716259883,0.571076923076923,0.5667989982532516,0.571076923076923,outputs\resnet18_fusion_20260107_210614\checkpoints\best.pt,outputs\resnet18_fusion_20260107_210614\checkpoints\last_015.pt
16,1e-05,1.06659521302916,0.6241788410628493,1.270392486498906,0.5716923076923077,0.5648867127594918,0.5716923076923077,,
17,1e-05,1.0422875654733652,0.6327090891263849,1.2630706930160522,0.5643076923076923,0.5553962462511215,0.5643076923076923,,
18,1e-05,1.0380047093958162,0.6341798215511325,1.2610913783586941,0.5624615384615385,0.5561458029115647,0.5624615384615385,,
19,1e-05,1.0098434986524902,0.6464359250906951,1.263961200127235,0.563076923076923,0.5554483901409213,0.563076923076923,,
20,1e-05,0.9948189221055896,0.6500637317384057,1.2599365238776574,0.5618461538461539,0.554826399203697,0.5618461538461539,,outputs\resnet18_fusion_20260107_210614\checkpoints\last_020.pt
21,1.0000000000000002e-06,0.966273961248135,0.6577115403470929,1.272369422032283,0.5593846153846154,0.5499148826409624,0.5593846153846154,,
22,1.0000000000000002e-06,0.9458985372154909,0.6685949602902246,1.2741089436457707,0.5593846153846154,0.5524012541133136,0.5593846153846154,,
23,1.0000000000000002e-06,0.941242925705121,0.6676144720070595,1.26703823192303,0.5661538461538461,0.5577988023121708,0.5661538461538461,,
24,1.0000000000000002e-06,0.9430328562091596,0.6668300813805275,1.261912700506357,0.5636923076923077,0.5574658826343937,0.5636923076923077,,
25,1.0000000000000002e-06,0.9336758463484877,0.6728110599078341,1.2624341696959276,0.5606153846153846,0.5537275345970603,0.5606153846153846,,outputs\resnet18_fusion_20260107_210614\checkpoints\last_025.pt
26,1.0000000000000002e-06,0.9192324089809941,0.6750661829591137,1.2617360721001258,0.5612307692307692,0.5538997734432847,0.5612307692307692,,
27,1.0000000000000002e-07,0.9350828659722636,0.6760466712422787,1.2615061707863442,0.5618461538461539,0.5573242678976975,0.5618461538461539,,
28,1.0000000000000002e-07,0.9253124155382488,0.6768310618688107,1.2699863899671116,0.5563076923076923,0.5520288038702449,0.5563076923076923,,
29,1.0000000000000002e-07,0.9295713167726345,0.6780076478086087,1.2621315064797034,0.5624615384615385,0.5558270803839122,0.5624615384615385,,
30,1.0000000000000002e-07,0.9246274741423669,0.6756544759290126,1.2651384886961716,0.5636923076923077,0.5561246442302156,0.5636923076923077,,outputs\resnet18_fusion_20260107_210614\checkpoints\last_030.pt
